브랜드명,Instagram 계정,Instagram URL,X(트위터) 계정,X(트위터) URL,팝업 진행 여부,팝업 상세 내용
아이앰미미 (i'm meme),@immeme_japan,https://www.instagram.com/immeme_japan/,-,-,-,-
S.NATURE (エスネイチャー),@s.nature_jp,https://www.instagram.com/s.nature_jp/,-,-,-,-
오즈나리 (ooznary),@ooznary.japan,https://www.instagram.com/ooznary.japan/,-,-,-,-
조선미녀 (Beauty of Joseon),@beautyofjoseon_japan,https://www.instagram.com/beautyofjoseon_japan/,@BOJ_JP,https://x.com/boj_jp,-,-
라운드랩 (Round Lab),@roundlab.jp,https://www.instagram.com/roundlab.jp/,-,-,-,-
파파레서피 (Papa Recipe),@paparecipe_jp,https://www.instagram.com/paparecipe_jp/,-,-,-,-
퓨리토 (Purito),@purito_japan,https://www.instagram.com/purito_japan/,-,-,-,-
클라뷰 (KLAVUU),@klavuu_official_japan,https://www.instagram.com/klavuu_official_japan/,@klavuu_jp,https://x.com/klavuu_jp,-,-
아비브 (Abib),-,-,@Abib_japan,https://twitter.com/abib_japan,-,-
REJURAN COSMETICS,-,-,-,-,O,2025.09 @cosme TOKYO 일본 첫 상륙 팝업 (예정)
